name,set_code,card_number,class_name,power,toughness,starting_loyalty,starting_defense,mana_value,rarity,types,subtypes,supertypes,mana_costs,rules,black,blue,green,red,white,frame_color,frame_style,various_art
"Rootwater Matriarch","UNK","0","mage.cards.r.RootwaterMatriarch","2","3","","","4","common","CREATURE","MERFOLK","","{2}{U}{U}","","false","true","false","false","false","blue","","false"
"Relentless Pursuit","UNK","0","mage.cards.r.RelentlessPursuit","","","","","3","common","SORCERY","","","{2}{G}","","false","false","true","false","false","green","","false"
"Rootweaver Druid","UNK","0","mage.cards.r.RootweaverDruid","2","1","","","3","common","CREATURE","ELF DRUID","","{2}{G}","","false","false","true","false","false","green","","false"
"Ravenous Wampa","UNK","0","mage.cards.r.RavenousWampa","4","4","","","6","common","CREATURE","BEAST","","{2}{R/W}{R/W}","","false","false","false","true","true","multicolor","","false"
"Rite Of Undoing","UNK","0","mage.cards.r.RiteOfUndoing","","","","","5","common","INSTANT","","","{4}{U}","","false","true","false","false","false","blue","","false"
"Runaway Trash Bot","UNK","0","mage.cards.r.RunawayTrashBot","0","4","","","3","common","ARTIFACT CREATURE","CONSTRUCT","","{3}","","false","false","false","false","false","colorless","","false"
"Rakish Heir","UNK","0","mage.cards.r.RakishHeir","2","2","","","3","common","CREATURE","VAMPIRE","","{2}{R}","","false","false","false","true","false","red","","false"
"Rohirrim Lancer","UNK","0","mage.cards.r.RohirrimLancer","1","1","","","1","common","CREATURE","HUMAN KNIGHT","","{R}","","false","false","false","true","false","red","","false"
"Radiant Lotus","UNK","0","mage.cards.r.RadiantLotus","","","","","6","common","ARTIFACT","","","{6}","","false","false","false","false","false","colorless","","false"
"Reveille Squad","UNK","0","mage.cards.r.ReveilleSquad","3","3","","","4","common","CREATURE","HUMAN REBEL","","{2}{W}{W}","","false","false","false","false","true","white","","false"
"River Song","UNK","0","mage.cards.r.RiverSong","2","2","","","3","common","CREATURE","HUMAN TIME_LORD ROGUE","","{1}{U}{R}","","false","true","false","true","false","multicolor","","false"
"Rimescale Dragon","UNK","0","mage.cards.r.RimescaleDragon","5","5","","","7","common","CREATURE","DRAGON","","{5}{R}{R}","","false","false","false","true","false","red","","false"
"Riptide Chimera","UNK","0","mage.cards.r.RiptideChimera","3","4","","","3","common","ENCHANTMENT CREATURE","CHIMERA","","{2}{U}","","false","true","false","false","false","blue","","false"
